                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.2473,                0.80358,                 1.2852,                 1.3414,                0.81677,                   1.32,                0.91069,                0.86451,                0.91609,                0.60609,                 1.2644,                0.65306,                 1.3768,                 1.3163,                0.59341,                 1.4143,               0.007657,               0.007657,               0.007657
                     74,                 1.2437,                0.81106,                 1.2841,                 1.3255,                  0.831,                 1.3145,                0.89581,                0.86802,                0.91762,                0.61087,                 1.2419,                 0.6615,                  1.355,                 1.2924,                0.60705,                 1.3826,               0.007624,               0.007624,               0.007624
                     75,                 1.2332,                0.80928,                 1.2763,                 1.3175,                0.82661,                 1.3076,                0.89602,                0.87556,                0.92347,                0.61757,                 1.2434,                0.64608,                 1.3553,                 1.2876,                0.58532,                 1.3753,               0.007591,               0.007591,               0.007591
                     76,                 1.2266,                0.79028,                  1.276,                 1.3145,                0.79755,                 1.3052,                0.89497,                0.87379,                0.92707,                0.61659,                 1.2485,                0.64094,                 1.3524,                 1.2969,                 0.5905,                 1.3773,               0.007558,               0.007558,               0.007558
                     77,                 1.2299,                0.79107,                 1.2717,                  1.324,                0.80179,                 1.3079,                 0.8953,                0.86758,                0.92272,                0.61656,                 1.2501,                0.64109,                 1.3563,                 1.2962,                0.59004,                 1.3919,               0.007525,               0.007525,               0.007525
                     78,                   1.22,                0.79062,                 1.2663,                 1.3132,                0.80363,                 1.2984,                0.89699,                0.87855,                 0.9244,                0.62156,                 1.2374,                0.62838,                 1.3452,                 1.2963,                0.56671,                 1.3875,               0.007492,               0.007492,               0.007492
                     79,                 1.2077,                0.78562,                 1.2548,                 1.3017,                 0.8012,                 1.2823,                0.89122,                0.87838,                0.92501,                0.62108,                 1.2383,                0.62754,                 1.3432,                  1.284,                0.57664,                 1.3676,               0.007459,               0.007459,               0.007459
                     80,                 1.2162,                0.76736,                 1.2612,                 1.3064,                0.78199,                 1.2862,                0.87602,                 0.8814,                  0.917,                0.61635,                 1.2426,                 0.6319,                 1.3464,                 1.2845,                0.59336,                 1.3785,               0.007426,               0.007426,               0.007426
                     81,                 1.2037,                0.77895,                 1.2578,                 1.2898,                0.80026,                 1.2829,                0.90769,                0.86604,                0.92289,                0.61565,                 1.2488,                0.63074,                 1.3517,                 1.2913,                0.59167,                  1.387,               0.007393,               0.007393,               0.007393
                     82,                  1.203,                 0.7818,                 1.2578,                 1.2939,                0.80316,                  1.283,                0.89712,                 0.8789,                0.92158,                0.61422,                 1.2378,                0.63772,                  1.351,                 1.2944,                0.58784,                 1.3882,                0.00736,                0.00736,                0.00736
                     83,                 1.1965,                0.77433,                 1.2567,                 1.2857,                0.78876,                 1.2833,                0.90905,                0.86669,                  0.921,                0.62593,                 1.2254,                0.62954,                  1.349,                 1.2712,                0.59046,                 1.3776,               0.007327,               0.007327,               0.007327
                     84,                 1.1977,                0.76234,                 1.2508,                 1.2917,                0.77831,                 1.2823,                0.90332,                0.87165,                0.92268,                0.62286,                 1.2254,                0.63289,                 1.3402,                 1.2783,                0.57981,                 1.3791,               0.007294,               0.007294,               0.007294
                     85,                 1.1954,                0.76557,                  1.244,                 1.2778,                0.78371,                 1.2751,                0.92226,                0.85856,                0.92244,                0.62155,                 1.2293,                0.63358,                 1.3399,                 1.2747,                0.58358,                 1.3681,               0.007261,               0.007261,               0.007261
                     86,                 1.1832,                 0.7573,                 1.2417,                 1.2661,                0.77653,                 1.2655,                 0.9186,                0.86136,                 0.9224,                 0.6245,                 1.2235,                0.62622,                 1.3388,                 1.2703,                0.59621,                 1.3618,               0.007228,               0.007228,               0.007228
                     87,                 1.1905,                0.76499,                 1.2451,                 1.2841,                 0.7787,                 1.2755,                0.90273,                0.86885,                0.92582,                0.62763,                 1.2203,                0.61101,                 1.3317,                 1.2708,                0.56882,                 1.3656,               0.007195,               0.007195,               0.007195
                     88,                 1.1994,                0.76594,                 1.2487,                 1.2904,                0.78123,                 1.2748,                0.90948,                0.87711,                0.92516,                0.62867,                 1.2131,                0.60924,                 1.3268,                 1.2619,                0.57577,                 1.3587,               0.007162,               0.007162,               0.007162
                     89,                  1.187,                 0.7521,                 1.2446,                 1.2833,                0.75442,                 1.2751,                0.92351,                0.86318,                0.92698,                0.63337,                 1.2124,                0.60374,                 1.3256,                 1.2535,                0.56231,                 1.3522,               0.007129,               0.007129,               0.007129
                     90,                 1.1791,                0.74872,                 1.2494,                 1.2677,                0.75949,                 1.2821,                0.91265,                0.85022,                0.92485,                0.63398,                 1.2092,                0.60862,                 1.3259,                 1.2541,                0.55812,                 1.3551,               0.007096,               0.007096,               0.007096
                     91,                  1.184,                0.74765,                 1.2441,                 1.2783,                0.76208,                 1.2738,                0.90525,                0.87336,                0.92919,                0.63539,                 1.2115,                0.60474,                 1.3251,                 1.2526,                0.55038,                 1.3508,               0.007063,               0.007063,               0.007063
                     92,                  1.178,                0.74864,                  1.236,                 1.2712,                0.75787,                 1.2653,                0.90154,                0.88655,                0.92792,                0.63558,                  1.205,                0.60796,                 1.3212,                 1.2528,                 0.5453,                 1.3484,                0.00703,                0.00703,                0.00703
                     93,                 1.1697,                0.73804,                 1.2317,                 1.2591,                 0.7489,                 1.2624,                0.91679,                 0.8757,                0.93045,                0.63342,                  1.206,                0.60464,                 1.3231,                 1.2513,                0.54561,                 1.3559,               0.006997,               0.006997,               0.006997
                     94,                 1.1584,                0.73097,                 1.2258,                 1.2522,                0.73948,                 1.2603,                 0.9113,                0.88614,                0.93449,                0.63719,                 1.2051,                0.59841,                 1.3246,                 1.2534,                0.53798,                 1.3551,               0.006964,               0.006964,               0.006964
                     95,                 1.1582,                0.72744,                   1.22,                 1.2459,                0.73218,                 1.2499,                0.91713,                0.87924,                0.93348,                0.63903,                 1.2045,                0.59094,                 1.3218,                 1.2545,                0.53479,                 1.3529,               0.006931,               0.006931,               0.006931
                     96,                 1.1593,                0.74954,                 1.2279,                 1.2496,                0.77025,                 1.2595,                0.91236,                0.88181,                0.93384,                0.64018,                 1.2043,                0.59156,                 1.3217,                 1.2467,                0.54542,                 1.3561,               0.006898,               0.006898,               0.006898
                     97,                   1.15,                0.72574,                 1.2178,                 1.2395,                0.73541,                 1.2476,                0.91125,                 0.8775,                 0.9327,                0.63966,                 1.2067,                0.58963,                 1.3227,                 1.2501,                0.54352,                 1.3567,               0.006865,               0.006865,               0.006865
                     98,                 1.1616,                0.72208,                 1.2287,                 1.2466,                0.73308,                 1.2527,                0.92049,                0.87337,                0.93221,                0.63745,                 1.2039,                 0.5906,                 1.3236,                  1.252,                 0.5365,                  1.354,               0.006832,               0.006832,               0.006832
