                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 1.0582,                0.63459,                 1.1558,                0.93036,                0.89015,                0.94993,                0.65389,                 1.2296,                 0.5571,                 1.3216,               0.005545,               0.005545,               0.005545
                    138,                  1.054,                0.63699,                 1.1561,                0.93398,                0.89126,                0.94992,                0.65367,                 1.2289,                 0.5541,                 1.3212,               0.005512,               0.005512,               0.005512
                    139,                 1.0545,                0.63251,                 1.1583,                 0.9327,                0.89295,                0.95005,                0.65399,                 1.2288,                0.55299,                  1.322,               0.005479,               0.005479,               0.005479
                    140,                 1.0479,                0.62027,                 1.1511,                0.93473,                0.89371,                0.95023,                0.65326,                 1.2285,                0.55125,                 1.3216,               0.005446,               0.005446,               0.005446
                    141,                 1.0498,                0.62687,                 1.1563,                0.93007,                0.89592,                0.95001,                0.65411,                 1.2295,                0.55005,                 1.3225,               0.005413,               0.005413,               0.005413
                    142,                 1.0397,                0.61743,                 1.1467,                0.93036,                0.89607,                0.95034,                0.65531,                 1.2298,                0.55001,                 1.3223,                0.00538,                0.00538,                0.00538
                    143,                 1.0494,                0.62702,                 1.1519,                 0.9316,                0.89574,                 0.9503,                0.65685,                 1.2301,                0.55079,                 1.3228,               0.005347,               0.005347,               0.005347
                    144,                 1.0397,                0.62133,                 1.1466,                0.93208,                0.89636,                0.94845,                0.65598,                 1.2303,                0.54954,                 1.3227,               0.005314,               0.005314,               0.005314
                    145,                 1.0403,                 0.6196,                 1.1507,                0.93124,                0.89471,                0.94843,                0.65651,                 1.2307,                 0.5502,                 1.3231,               0.005281,               0.005281,               0.005281
                    146,                 1.0442,                0.63013,                 1.1541,                0.93241,                0.89193,                0.94806,                0.65716,                 1.2295,                0.55078,                  1.322,               0.005248,               0.005248,               0.005248
                    147,                 1.0301,                0.61344,                  1.144,                0.93266,                0.89371,                 0.9481,                0.65705,                 1.2294,                0.54969,                 1.3221,               0.005215,               0.005215,               0.005215
                    148,                 1.0255,                0.60982,                 1.1482,                0.93167,                0.89508,                 0.9482,                0.65597,                 1.2288,                0.54992,                 1.3217,               0.005182,               0.005182,               0.005182
                    149,                 1.0213,                0.61064,                 1.1395,                0.92967,                0.89472,                0.94792,                0.65613,                 1.2285,                0.54887,                 1.3217,               0.005149,               0.005149,               0.005149
                    150,                   1.02,                 0.6071,                 1.1442,                0.92985,                0.89459,                 0.9485,                0.65591,                  1.229,                 0.5486,                 1.3222,               0.005116,               0.005116,               0.005116
                    151,                 1.0257,                0.60364,                 1.1391,                0.93011,                0.89611,                0.94845,                0.65615,                 1.2283,                0.54807,                 1.3217,               0.005083,               0.005083,               0.005083
                    152,                 1.0261,                0.60906,                 1.1407,                0.92898,                0.89638,                0.94859,                0.65678,                 1.2277,                0.54779,                 1.3215,                0.00505,                0.00505,                0.00505
                    153,                 1.0174,                0.61508,                 1.1364,                0.92953,                0.89561,                0.94846,                0.65618,                 1.2269,                0.54667,                 1.3213,               0.005017,               0.005017,               0.005017
                    154,                 1.0142,                0.61278,                 1.1349,                0.93275,                0.89119,                0.94831,                0.65773,                 1.2259,                0.54564,                 1.3208,               0.004984,               0.004984,               0.004984
                    155,                 1.0055,                0.59871,                 1.1313,                0.93095,                0.89157,                0.94783,                0.65692,                 1.2249,                0.54485,                 1.3201,               0.004951,               0.004951,               0.004951
